Time;Prime1 (Raw mV);Prime1 (Cal);Prime2 (Raw mV);Prime2 (Cal);Prime3 (Raw mV);Prime3 (Cal);Prime4 (Raw mV);Prime4 (Cal);Custom: prime_index
2025-09-30 20:02:49.530160;1459;103,743;626;85,085;23;0,000;1958;148,700;2108
2025-09-30 20:02:49.650502;1458;103,812;626;85,085;23;0,000;1956;148,900;2107
2025-09-30 20:02:49.769360;1457;103,881;625;85,034;23;0,000;1955;149,000;2105
2025-09-30 20:02:49.890309;1464;103,399;633;85,443;23;0,000;1954;149,100;2120
2025-09-30 20:02:50.100276;1466;103,261;633;85,443;23;0,000;1960;148,500;2122
2025-09-30 20:02:50.220196;1475;102,642;634;85,494;23;0,000;1958;148,700;2132
2025-09-30 20:02:50.339415;1459;103,743;626;85,085;23;0,000;1956;148,900;2108
2025-09-30 20:02:50.458427;1458;103,812;626;85,085;23;0,000;1955;149,000;2107
2025-09-30 20:02:50.668338;1457;103,881;625;85,034;23;0,000;1954;149,100;2105
2025-09-30 20:02:50.788240;1464;103,399;633;85,443;23;0,000;1952;149,300;2120
2025-09-30 20:02:50.908389;1466;103,261;633;85,443;23;0,000;1951;149,400;2122
2025-09-30 20:02:51.028242;1465;103,330;633;85,443;23;0,000;1952;149,300;2121
2025-09-30 20:02:51.240556;1466;103,261;633;85,443;23;0,000;1951;149,400;2122
2025-09-30 20:02:51.358536;1465;103,330;634;85,494;23;0,000;1950;149,500;2122
2025-09-30 20:02:51.478255;1466;103,261;634;85,494;23;0,000;1949;149,600;2123
2025-09-30 20:02:51.598573;1465;103,330;634;85,494;23;0,000;1950;149,500;2122
2025-09-30 20:02:51.808402;1465;103,330;634;85,494;23;0,000;1949;149,600;2122
2025-09-30 20:02:51.928561;1493;101,404;657;86,670;23;0,000;1948;149,700;2173
2025-09-30 20:02:51.929561;1492;101,472;660;86,823;23;0,000;1948;149,700;2175
2025-09-30 20:02:51.930561;1493;101,404;657;86,670;23;0,000;1948;149,700;2173
2025-09-30 20:02:51.931561;1492;101,472;660;86,823;23;0,000;1948;149,700;2175
2025-09-30 20:02:51.932561;1477;102,505;638;85,699;23;0,000;1946;149,900;2138
2025-09-30 20:02:51.933561;1471;102,917;639;85,750;23;0,000;1946;149,900;2133
2025-09-30 20:02:51.934561;1477;102,505;638;85,699;23;0,000;1945;150,000;2138
2025-09-30 20:02:51.935561;1471;102,917;639;85,750;23;0,000;1944;150,100;2133
2025-09-30 20:02:51.936561;1471;102,917;639;85,750;23;0,000;1945;150,000;2133
2025-09-30 20:02:51.937561;1473;102,780;639;85,750;23;0,000;1944;150,100;2135
2025-09-30 20:02:51.938561;1471;102,917;669;87,283;23;0,000;1943;150,200;2163
2025-09-30 20:02:51.939561;1473;102,780;678;87,743;23;0,000;1942;150,300;2174
2025-09-30 20:02:51.940561;1507;100,440;669;87,283;23;0,000;1943;150,200;2199
2025-09-30 20:02:51.941561;1507;100,440;678;87,743;23;0,000;1942;150,300;2208
2025-09-30 20:02:51.942561;1512;100,096;682;87,948;23;0,000;1942;150,300;2217
2025-09-30 20:02:51.943561;1520;99,546;693;88,510;23;0,000;1942;150,300;2236
2025-09-30 20:02:51.944561;1512;100,096;682;87,948;23;0,000;1941;150,400;2217
2025-09-30 20:02:51.945561;1520;99,546;693;88,510;23;0,000;1940;150,500;2236
2025-09-30 20:02:51.946561;1529;98,927;692;88,459;23;0,000;1941;150,400;2244
2025-09-30 20:02:51.947561;1508;100,372;678;87,743;23;0,000;1940;150,500;2209
2025-09-30 20:02:51.948561;1529;98,927;692;88,459;23;0,000;1939;150,600;2244
2025-09-30 20:02:51.949561;1508;100,372;678;87,743;23;0,000;1938;150,700;2209
2025-09-30 20:02:51.950561;1498;101,060;663;86,976;23;0,000;1939;150,600;2184
2025-09-30 20:02:52.048011;1474;102,711;663;86,976;23;0,000;1938;150,700;2160
2025-09-30 20:02:52.167868;1498;101,060;642;85,903;23;0,000;1937;150,800;2163
2025-09-30 20:02:52.379314;1474;102,711;623;84,932;23;0,000;1937;150,800;2120
2025-09-30 20:02:52.499831;1460;103,674;642;85,903;23;0,000;1937;150,800;2125
2025-09-30 20:02:52.618038;1460;103,674;623;84,932;23;0,000;1937;150,800;2106
2025-09-30 20:02:52.739848;1458;103,812;627;85,136;23;0,000;1936;150,900;2108
2025-09-30 20:02:52.948110;1505;100,578;662;86,925;23;0,000;1936;150,900;2190
2025-09-30 20:02:52.949110;1458;103,812;627;85,136;23;0,000;1936;150,900;2108
2025-09-30 20:02:52.950110;1505;100,578;662;86,925;23;0,000;1936;150,900;2190
2025-09-30 20:02:52.951110;1437;105,257;605;84,012;23;0,000;1935;151,000;2065
2025-09-30 20:02:52.952110;1434;105,463;604;83,961;23;0,000;1935;151,000;2061
2025-09-30 20:02:52.953110;1437;105,257;605;84,012;23;0,000;1935;151,000;2065
2025-09-30 20:02:52.954110;1434;105,463;604;83,961;23;0,000;1934;151,100;2061
2025-09-30 20:02:52.955110;1434;105,463;605;84,012;23;0,000;1935;151,000;2062
2025-09-30 20:02:53.070218;1440;105,050;605;84,012;23;0,000;1934;151,100;2068
2025-09-30 20:02:53.188449;1434;105,463;617;84,625;23;0,000;1934;151,100;2074
2025-09-30 20:02:53.309405;1440;105,050;634;85,494;23;0,000;1933;151,200;2097
2025-09-30 20:02:53.518459;1463;103,468;617;84,625;23;0,000;1934;151,100;2103
2025-09-30 20:02:53.638293;1463;103,468;634;85,494;23;0,000;1933;151,200;2120
2025-09-30 20:02:53.761025;1456;103,950;618;84,676;23;0,000;1932;151,300;2097
2025-09-30 20:02:53.878460;1436;105,326;606;84,063;23;0,000;1932;151,300;2065
2025-09-30 20:02:53.879460;1456;103,950;618;84,676;23;0,000;1932;151,300;2097
2025-09-30 20:02:53.880460;1436;105,326;606;84,063;23;0,000;1932;151,300;2065
2025-09-30 20:02:53.881460;1454;104,087;624;84,983;23;0,000;1931;151,400;2101
2025-09-30 20:02:53.882460;1453;104,156;610;84,267;23;0,000;1931;151,400;2086
2025-09-30 20:02:53.883460;1454;104,087;624;84,983;23;0,000;1931;151,400;2101
2025-09-30 20:02:53.884460;1453;104,156;610;84,267;23;0,000;1931;151,400;2086
2025-09-30 20:02:53.885460;1440;105,050;612;84,370;23;0,000;1931;151,400;2075
2025-09-30 20:02:54.088273;1500;100,922;671;87,385;23;0,000;1931;151,400;2194
2025-09-30 20:02:54.210198;1440;105,050;612;84,370;23;0,000;1930;151,500;2075
2025-09-30 20:02:54.329010;1500;100,922;671;87,385;0;;0;;2171
